ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
ISSUE-0001,Add plan + issues CSV (bootstrap),Create plan and Issue CSV; record constraints/conflicts/assumptions; ensure CSV validates.,plan exists; CSV validates.,py -3.11 .codex/skills/plan/scripts/validate_issues_csv.py issues/2026-02-10_15-43-12-new-pixiv-api-delivery.csv,none,DONE,DONE,TODO,plan/2026-02-10_15-43-12-new-pixiv-api-delivery.md | plan/2026-02-10_plan.md | issues/2026-02-10_15-43-12-new-pixiv-api-delivery.csv,none,priority:P0 milestone:M0 component:docs estimate:S done_at:2026-02-10 evidence:validate_issues_csv:ok
ISSUE-0002,Add scripts/test_all.ps1 (one-command gate),Add scripts/test_all.ps1 + test_backend.ps1 + test_frontend.ps1; PowerShell-friendly.,pwsh scripts/test_all.ps1 runs; non-zero on failure.,pwsh -NoProfile -File scripts/test_all.ps1,none,DONE,DONE,TODO,scripts/test_all.ps1 | scripts/test_backend.ps1 | scripts/test_frontend.ps1,ISSUE-0001,priority:P0 milestone:M0 component:tests estimate:S done_at:2026-02-10 evidence:test_all:ok
ISSUE-0003,Backend skeleton (FastAPI app),Create backend/ skeleton with FastAPI app and pytest harness.,backend starts; pytest runs.,pwsh -NoProfile -File scripts/test_backend.ps1,none,DONE,DONE,TODO,module:backend,ISSUE-0002,priority:P0 milestone:M0 component:backend estimate:M done_at:2026-02-10 evidence:test_backend:ok
ISSUE-0004,Error schema + error codes enum,Uniform JSON error schema + stable error code enum per API契约-详细.md.,tests cover schema; codes stable.,py -3.11 -m pytest -q backend/tests -k error_schema,none,DONE,DONE,TODO,backend/app/core/errors.py | backend/tests/test_error_schema.py,ISSUE-0003,priority:P0 milestone:M0 component:backend estimate:M done_at:2026-02-10 evidence:pytest_error_schema:ok
ISSUE-0005,Config (env + defaults + prod fail-fast),Typed config loader for DATABASE_URL/SECRET_KEY/FIELD_ENCRYPTION_KEY/ADMIN_*.,prod missing secrets fails; secrets not logged.,py -3.11 -m pytest -q backend/tests -k config,none,DONE,DONE,TODO,backend/app/core/config.py | backend/tests/test_config.py,ISSUE-0004,priority:P0 milestone:M0 component:backend estimate:M done_at:2026-02-10 evidence:pytest_config:ok
ISSUE-0006,Logging + redaction filter,Global redaction for refresh_token/password/authorization/proxy uri patterns.,tests prove no secret logs.,py -3.11 -m pytest -q backend/tests -k redact,none,DONE,DONE,TODO,backend/app/core/logging.py | backend/app/core/redact.py | backend/tests/test_log_redaction.py,ISSUE-0005,priority:P0 milestone:M0 component:security estimate:M done_at:2026-02-10 evidence:pytest_redact:ok
ISSUE-0007,Request-ID middleware,Add X-Request-Id + request_id in JSON responses.,tests cover request_id.,py -3.11 -m pytest -q backend/tests -k request_id,none,DONE,DONE,TODO,backend/app/core/request_id.py | backend/tests/test_request_id.py,ISSUE-0006,priority:P0 milestone:M0 component:backend estimate:S done_at:2026-02-10 evidence:pytest_request_id:ok
ISSUE-0008,Field encryption (Fernet) + mask,Encrypt/mask helpers for refresh_token_enc and password_enc; never echo plaintext.,tests cover encrypt/decrypt/mask.,py -3.11 -m pytest -q backend/tests -k crypto,none,DONE,DONE,TODO,backend/app/core/crypto.py | backend/tests/test_crypto.py,ISSUE-0005 | ISSUE-0006,priority:P0 milestone:M0 component:security estimate:M done_at:2026-02-10 evidence:py -3.11 -m pytest -q backend/tests -k crypto:ok
ISSUE-0009,SQLite init (WAL+busy_timeout+FK),Enable WAL/busy_timeout/foreign_keys; add short busy retry helper.,tests verify pragmas.,py -3.11 -m pytest -q backend/tests -k sqlite,none,DONE,DONE,TODO,backend/app/db/engine.py | backend/app/db/session.py | backend/tests/test_sqlite_pragmas.py,ISSUE-0007,priority:P0 milestone:M0 component:db estimate:M done_at:2026-02-10 evidence:py -3.11 -m pytest -q backend/tests -k sqlite:ok
ISSUE-0010,Alembic setup,Init Alembic; configure DATABASE_URL; upgrade head works.,alembic upgrade head ok.,pwsh -NoProfile -File scripts/test_backend.ps1,none,DONE,DONE,TODO,backend/alembic.ini | backend/alembic/env.py | backend/alembic/versions/*,ISSUE-0009,priority:P0 milestone:M0 component:db estimate:M done_at:2026-02-10 evidence:pwsh -NoProfile -File scripts/test_backend.ps1:ok evidence:py -3.11 -m alembic -c backend/alembic.ini upgrade head:ok
